"","...1","bermuda","somer","somers","summer_islands","summer_isles"
"1","A10228",14.21829176,0,0,0,0
"2","A12466",15.21172451,0,0,0,0
"3","A12460",5.448794811,0,0,0,0
"4","A04691",19.8284767,0,0,0,0
"5","A04763",5.448794811,0,0,0,0
"6","A15050",14.21829176,0,0,0,0
"7","A02606",17.42102069,0,0,0,0
"8","A03017",5.448794811,0,0,0,0
"9","A03800",5.448794811,0,0,0,0
"10","A04165",5.448794811,0,0,0,0
"11","A04690",18.51443413,0,0,0,0
"12","A07637",5.448794811,0,0,0,0
"13","A10725",5.448794811,0,0,0,0
"14","A11395",5.448794811,0,0,0,0
"15","A13042",9.225611572,0,0,0,0
"16","A18410",9.225611572,0,0,0,0
"17","A18423",5.448794811,0,0,0,0
"18","A19639",5.448794811,0,0,0,0
"19","A20066",5.448794811,0,0,0,0
